device_id,window_id,label,dC,dL,dP,dE,dF,dS,dT,cyc_per_us,lsu_per_cyc,cpi_per_cyc,exc_per_cyc,fold_per_cyc
1,476,1,15000000,6035,5799,2665,5523,0,100000,150.000000,0.000402,0.000387,0.000178,0.000368
1,477,1,15000000,6128,5675,2803,6272,0,100000,150.000000,0.000409,0.000378,0.000187,0.000418
1,478,1,15000000,6705,7136,2816,6361,0,100000,150.000000,0.000447,0.000476,0.000188,0.000424
1,479,1,15000000,6366,6311,2705,5108,0,100000,150.000000,0.000424,0.000421,0.000180,0.000341
1,480,1,15000000,6421,6209,2852,5948,0,100000,150.000000,0.000428,0.000414,0.000190,0.000397
1,481,1,15000000,6939,6773,2922,6541,0,100000,150.000000,0.000463,0.000452,0.000195,0.000436
1,482,1,15000000,6856,6438,2806,5650,0,100000,150.000000,0.000457,0.000429,0.000187,0.000377
1,483,1,15000000,6287,7455,2964,5427,0,100000,150.000000,0.000419,0.000497,0.000198,0.000362
1,484,1,15000000,6254,6567,2881,6189,0,100000,150.000000,0.000417,0.000438,0.000192,0.000413
1,485,1,15000000,6627,6633,2688,5228,0,100000,150.000000,0.000442,0.000442,0.000179,0.000349
1,486,1,15000000,6121,5439,2924,5512,0,100000,150.000000,0.000408,0.000363,0.000195,0.000367
1,487,1,15000000,5728,6021,2882,6599,0,100000,150.000000,0.000382,0.000401,0.000192,0.000440
1,488,1,15000000,6481,6356,2894,6130,0,100000,150.000000,0.000432,0.000424,0.000193,0.000409
1,489,1,15000000,6552,7236,2754,5973,0,100000,150.000000,0.000437,0.000482,0.000184,0.000398
1,490,1,15000000,6100,5919,2959,6538,0,100000,150.000000,0.000407,0.000395,0.000197,0.000436
1,491,1,15000000,6713,6376,2735,5800,0,100000,150.000000,0.000448,0.000425,0.000182,0.000387
1,492,1,15000000,6402,5893,2703,5698,0,100000,150.000000,0.000427,0.000393,0.000180,0.000380
1,493,1,15000000,6721,6498,2981,6937,0,100000,150.000000,0.000448,0.000433,0.000199,0.000462
1,494,1,15000000,5982,7051,2844,6456,0,100000,150.000000,0.000399,0.000470,0.000190,0.000430
1,495,1,15000000,6102,7007,2853,5808,0,100000,150.000000,0.000407,0.000467,0.000190,0.000387
1,496,1,15000000,5836,6873,2670,5763,0,100000,150.000000,0.000389,0.000458,0.000178,0.000384
1,497,1,15000000,6474,6430,2804,6696,0,100000,150.000000,0.000432,0.000429,0.000187,0.000446
1,498,1,15000000,5978,6608,2780,6086,0,100000,150.000000,0.000399,0.000441,0.000185,0.000406
1,499,1,15000000,6173,7508,2904,5375,0,100000,150.000000,0.000412,0.000501,0.000194,0.000358
1,500,1,15000000,6540,6592,2943,6631,0,100000,150.000000,0.000436,0.000439,0.000196,0.000442
1,501,1,15000000,6482,6407,2889,6128,0,100000,150.000000,0.000432,0.000427,0.000193,0.000409
1,502,1,15000000,6677,6603,2647,4453,0,100000,150.000000,0.000445,0.000440,0.000176,0.000297
1,503,1,15000000,5938,6675,2904,5926,0,100000,150.000000,0.000396,0.000445,0.000194,0.000395
1,504,1,15000000,6192,6266,2881,6556,0,100000,150.000000,0.000413,0.000418,0.000192,0.000437
1,505,1,15000000,6441,7047,2665,5702,0,100000,150.000000,0.000429,0.000470,0.000178,0.000380
1,506,1,15000000,6096,6312,2902,5991,0,100000,150.000000,0.000406,0.000421,0.000193,0.000399
1,507,1,15000000,6486,6423,2920,7207,0,100000,150.000000,0.000432,0.000428,0.000195,0.000480
1,508,1,15000000,6261,5863,2687,6744,0,100000,150.000000,0.000417,0.000391,0.000179,0.000450
1,509,1,15000000,6321,6569,2704,5048,0,100000,150.000000,0.000421,0.000438,0.000180,0.000337
1,510,1,15000000,6251,6585,2773,5644,0,100000,150.000000,0.000417,0.000439,0.000185,0.000376
1,511,1,15000000,6665,6653,2801,6651,0,100000,150.000000,0.000444,0.000444,0.000187,0.000443
1,512,1,15000000,6644,6582,2900,4972,0,100000,150.000000,0.000443,0.000439,0.000193,0.000331
1,513,1,15000000,6522,6974,2881,5934,0,100000,150.000000,0.000435,0.000465,0.000192,0.000396
1,514,1,15000000,6778,6686,2959,6037,0,100000,150.000000,0.000452,0.000446,0.000197,0.000402
1,515,1,15000000,5346,6670,2597,5564,0,100000,150.000000,0.000356,0.000445,0.000173,0.000371
1,516,1,15000000,6525,5640,2928,5371,0,100000,150.000000,0.000435,0.000376,0.000195,0.000358
1,517,1,15000000,6902,6091,2898,6665,0,100000,150.000000,0.000460,0.000406,0.000193,0.000444
